model,eeg_feature,remove_global_connections,remove_baseline_signal_noise_removal,number_test_targets,number_validation_targets,batch_size,hidden_channels,learning_rate,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params
GraphConv,psd,False,False,10,5,4,128,0.001,2.9815117478370667,0.55,0.55,0.55,0.55,0.8920816532258065,358960
GraphConv,psd,False,False,10,5,4,128,0.0001,2.7907176434993746,0.728125,0.7281249999999999,0.728125,0.728125,0.9513911290322581,358960
GraphConv,psd,False,False,20,5,4,16,0.01,3.222653864324093,0.29375,0.29375,0.29375,0.29375,0.7411819556451613,9072
GraphConv,psd,False,False,20,5,4,16,0.001,3.1782093048095703,0.3484375,0.3484375,0.3484375,0.3484375,0.7697681451612903,9072
GraphConv,psd,False,False,20,5,4,16,0.0001,2.838822308182716,0.6828125,0.6828125,0.6828125,0.6828125,0.926547379032258,9072
GraphConv,psd,False,False,20,5,4,32,0.01,3.432063513994217,0.078125,0.078125,0.078125,0.078125,0.5821534778225806,28336
GraphConv,psd,False,False,20,5,4,32,0.001,2.7504620879888533,0.76875,0.76875,0.76875,0.76875,0.9664616935483871,28336
GraphConv,psd,False,False,20,5,4,32,0.0001,2.8418430969119073,0.6828125,0.6828125,0.6828125,0.6828125,0.9478830645161291,28336
GraphConv,psd,False,False,20,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.498891129032258,358960
GraphConv,psd,False,False,20,5,4,128,0.001,2.949803201854229,0.5703125,0.5703125,0.5703125,0.5703125,0.8806728830645162,358960
GraphConv,psd,False,False,20,5,4,128,0.0001,2.6252137243747713,0.89375,0.89375,0.89375,0.89375,0.991000504032258,358960
GraphConv,psd,False,False,30,5,4,16,0.01,3.4649576862653095,0.04583333333333333,0.04583333333333333,0.04583333333333333,0.04583333333333333,0.5136827956989248,9072
GraphConv,psd,False,False,30,5,4,16,0.001,3.1480208853880565,0.375,0.375,0.375,0.375,0.8363743279569893,9072
GraphConv,psd,False,False,30,5,4,16,0.0001,3.3662417928377786,0.16770833333333332,0.16770833333333332,0.16770833333333332,0.16770833333333332,0.6881037186379929,9072
GraphConv,psd,False,False,30,5,4,32,0.01,3.448897898197174,0.057291666666666664,0.057291666666666664,0.057291666666666664,0.057291666666666664,0.570108646953405,28336
GraphConv,psd,False,False,30,5,4,32,0.001,2.9110020140806836,0.6135416666666667,0.6135416666666667,0.6135416666666667,0.6135416666666667,0.9086693548387098,28336
GraphConv,psd,False,False,30,5,4,32,0.0001,3.0962877055009206,0.440625,0.440625,0.440625,0.440625,0.8387018369175627,28336
GraphConv,psd,False,False,30,5,4,128,0.01,3.4874669790267943,0.03125,0.03125,0.03125,0.03125,0.5139051299283154,358960
GraphConv,psd,False,False,30,5,4,128,0.001,2.878971144556999,0.6395833333333333,0.6395833333333333,0.6395833333333333,0.6395833333333333,0.911495855734767,358960
GraphConv,psd,False,False,30,5,4,128,0.0001,2.7695484906435013,0.759375,0.759375,0.759375,0.759375,0.9733613351254481,358960
GraphConv,psd,False,False,34,5,4,16,0.01,3.3431182845550427,0.18382352941176472,0.18382352941176475,0.18382352941176472,0.18382352941176472,0.6771778030472151,9072
GraphConv,psd,False,False,34,5,4,16,0.001,3.329984609695042,0.19761029411764705,0.19761029411764705,0.19761029411764705,0.19761029411764705,0.7154781504632213,9072
GraphConv,psd,False,False,34,5,4,16,0.0001,3.4303340710261288,0.09650735294117647,0.09650735294117647,0.09650735294117647,0.09650735294117647,0.5894369488782231,9072
GraphConv,psd,False,False,34,5,4,32,0.01,3.4237809119855656,0.09375,0.09375,0.09375,0.09375,0.5577012292108494,28336
GraphConv,psd,False,False,34,5,4,32,0.001,3.1689763174337497,0.3602941176470588,0.3602941176470588,0.3602941176470588,0.3602941176470588,0.8075643207947315,28336
GraphConv,psd,False,False,34,5,4,32,0.0001,3.4614760805578793,0.03768382352941176,0.03768382352941176,0.03768382352941176,0.03768382352941176,0.591215014231499,28336
GraphConv,psd,False,False,34,5,4,128,0.01,3.436508716905818,0.08547794117647059,0.08547794117647059,0.08547794117647059,0.08547794117647059,0.5622841730382856,358960
GraphConv,psd,False,False,34,5,4,128,0.001,3.143492612768622,0.3795955882352941,0.37959558823529416,0.3795955882352941,0.3795955882352941,0.7871981038620381,358960
GraphConv,psd,False,False,34,5,4,128,0.0001,3.1631912317346123,0.43014705882352944,0.43014705882352944,0.43014705882352944,0.43014705882352944,0.8356819957584551,358960
GatedGNN,wav,False,False,10,5,4,128,0.01,2.9005382001399993,0.625,0.625,0.625,0.625,0.9606350806451613,377773
GatedGNN,wav,False,False,10,5,4,128,0.001,2.5199220210313795,1.0,1.0,1.0,1.0,1.0,377773
GatedGNN,wav,False,False,10,5,4,128,0.0001,2.5211647778749464,0.996875,0.996875,0.996875,0.996875,1.0,377773
GatedGNN,wav,False,False,20,5,4,128,0.01,2.796439941227436,0.7203125,0.7203125,0.7203125,0.7203125,0.9250667842741935,377773
GatedGNN,wav,False,False,20,5,4,128,0.001,2.5196800008416176,0.9984375,0.9984375,0.9984375,0.9984375,0.9999747983870968,377773
GatedGNN,wav,False,False,20,5,4,128,0.0001,2.5196931794285775,0.9984375,0.9984375,0.9984375,0.9984375,1.0,377773
GatedGNN,wav,False,False,30,5,4,128,0.01,2.756391660372416,0.7614583333333333,0.7614583333333332,0.7614583333333333,0.7614583333333333,0.9260075044802867,377773
GatedGNN,wav,False,False,30,5,4,128,0.001,2.5192665815353394,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9997390232974911,377773
GatedGNN,wav,False,False,30,5,4,128,0.0001,2.5196116894483565,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9999988799283154,377773
GatedGNN,wav,False,False,34,5,4,128,0.01,2.790005186024834,0.7279411764705882,0.7279411764705882,0.7279411764705882,0.7279411764705882,0.9724552475164638,377773
GatedGNN,wav,False,False,34,5,4,128,0.001,2.5568201156223522,0.9650735294117647,0.9650735294117647,0.9650735294117647,0.9650735294117647,0.9998386747962943,377773
GatedGNN,wav,False,False,34,5,4,128,0.0001,2.5373281398240257,0.9944852941176471,0.9944852941176471,0.9944852941176471,0.9944852941176471,0.9999781992967965,377773
GatedGNN,psd,False,False,10,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.49984879032258067,377776
GatedGNN,psd,False,False,10,5,4,128,0.001,3.486789745092392,0.03125,0.03125,0.03125,0.03125,0.4931249999999999,377776
GatedGNN,psd,False,False,10,5,4,128,0.0001,3.1739975035190584,0.34375,0.34375,0.34375,0.34375,0.6393800403225807,377776
GatedGNN,psd,False,False,20,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5,377776
GatedGNN,psd,False,False,20,5,4,128,0.001,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.497421875,377776
GatedGNN,psd,False,False,20,5,4,128,0.0001,3.206982034444809,0.3109375,0.3109375,0.3109375,0.3109375,0.6047505040322579,377776
GatedGNN,psd,False,False,30,5,4,128,0.01,3.485944618781408,0.030208333333333334,0.030208333333333334,0.030208333333333334,0.030208333333333334,0.49137824820788534,377776
GatedGNN,psd,False,False,30,5,4,128,0.001,3.4867892901102704,0.03125,0.03125,0.03125,0.03125,0.49894153225806454,377776
GatedGNN,psd,False,False,30,5,4,128,0.0001,2.977504802743594,0.540625,0.540625,0.540625,0.540625,0.7634436603942653,377776
GatedGNN,psd,False,False,34,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.49446523747069987,377776
GatedGNN,psd,False,False,34,5,4,128,0.001,3.47757883106961,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.4813678110001116,377776
GatedGNN,psd,False,False,34,5,4,128,0.0001,3.4341822336701786,0.08547794117647059,0.08547794117647059,0.08547794117647059,0.08547794117647059,0.5172748772184396,377776
NOGNN,wav,False,False,10,5,4,16,0.01,2.7422952383756636,0.775,0.775,0.775,0.775,0.8990977822580645,15421
NOGNN,wav,False,False,10,5,4,16,0.001,2.5522536605596544,0.965625,0.965625,0.965625,0.965625,0.9930342741935484,15421
NOGNN,wav,False,False,10,5,4,16,0.0001,2.5212153106927873,0.996875,0.996875,0.996875,0.996875,1.0,15421
NOGNN,wav,False,False,10,5,4,32,0.01,2.863670700788498,0.653125,0.653125,0.653125,0.653125,0.9368145161290322,30797
NOGNN,wav,False,False,10,5,4,32,0.001,2.521052399277687,0.996875,0.996875,0.996875,0.996875,1.0,30797
NOGNN,wav,False,False,10,5,4,32,0.0001,2.5211595773696898,0.996875,0.996875,0.996875,0.996875,1.0,30797
NOGNN,wav,False,False,10,5,4,128,0.01,2.8472036182880402,0.671875,0.671875,0.671875,0.671875,0.939375,123053
NOGNN,wav,False,False,10,5,4,128,0.001,2.5211212635040283,0.996875,0.996875,0.996875,0.996875,1.0,123053
NOGNN,wav,False,False,10,5,4,128,0.0001,2.5208710461854933,0.996875,0.996875,0.996875,0.996875,1.0,123053
NOGNN,wav,False,False,20,5,4,16,0.01,2.7052617251873015,0.8125,0.8125,0.8125,0.8125,0.927609627016129,15421
NOGNN,wav,False,False,20,5,4,16,0.001,2.6131148412823677,0.9046875,0.9046875,0.9046875,0.9046875,0.9954410282258064,15421
NOGNN,wav,False,False,20,5,4,16,0.0001,2.55286341458559,0.965625,0.965625,0.965625,0.965625,0.9992515120967741,15421
NOGNN,wav,False,False,20,5,4,32,0.01,2.770881187915802,0.746875,0.746875,0.746875,0.746875,0.910047883064516,30797
NOGNN,wav,False,False,20,5,4,32,0.001,2.5196041777729987,0.9984375,0.9984375,0.9984375,0.9984375,1.0,30797
NOGNN,wav,False,False,20,5,4,32,0.0001,2.5518571883440018,0.9671875,0.9671875,0.9671875,0.9671875,0.999914314516129,30797
NOGNN,wav,False,False,20,5,4,128,0.01,2.8629949018359184,0.6546875,0.6546875,0.6546875,0.6546875,0.9370766129032257,123053
NOGNN,wav,False,False,20,5,4,128,0.001,2.519607684016228,0.9984375,0.9984375,0.9984375,0.9984375,1.0,123053
NOGNN,wav,False,False,20,5,4,128,0.0001,2.519639554619789,0.9984375,0.9984375,0.9984375,0.9984375,1.0,123053
NOGNN,wav,False,False,30,5,4,16,0.01,2.6811264634132383,0.8385416666666666,0.8385416666666666,0.8385416666666666,0.8385416666666666,0.979275873655914,15421
NOGNN,wav,False,False,30,5,4,16,0.001,2.584355354309082,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.996353046594982,15421
NOGNN,wav,False,False,30,5,4,16,0.0001,2.5858141084512076,0.9375,0.9375,0.9375,0.9375,0.9970542114695341,15421
NOGNN,wav,False,False,30,5,4,32,0.01,2.6742388725280763,0.84375,0.84375,0.84375,0.84375,0.9303897849462365,30797
NOGNN,wav,False,False,30,5,4,32,0.001,2.5803402115901313,0.9375,0.9375,0.9375,0.9375,0.9982437275985664,30797
NOGNN,wav,False,False,30,5,4,32,0.0001,2.55015480419,0.9677083333333333,0.9677083333333333,0.9677083333333333,0.9677083333333333,0.9981586021505378,30797
NOGNN,wav,False,False,30,5,4,128,0.01,2.8930566082398097,0.6239583333333333,0.6239583333333333,0.6239583333333333,0.6239583333333333,0.9066823476702509,123053
NOGNN,wav,False,False,30,5,4,128,0.001,2.5191235383351644,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9989583333333333,1.0,123053
NOGNN,wav,False,False,30,5,4,128,0.0001,2.5192243814468385,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9989583333333333,1.0,123053
NOGNN,wav,False,False,34,5,4,16,0.01,2.561581329387777,0.9568014705882353,0.9568014705882353,0.9568014705882353,0.9568014705882353,0.999380860029021,15421
NOGNN,wav,False,False,34,5,4,16,0.001,2.5874257298076855,0.9384191176470589,0.9384191176470589,0.9384191176470589,0.9384191176470589,0.9983867479629422,15421
NOGNN,wav,False,False,34,5,4,16,0.0001,2.6358133799889507,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.986991956412546,15421
NOGNN,wav,False,False,34,5,4,32,0.01,2.5368942460593056,0.9806985294117647,0.9806985294117647,0.9806985294117647,0.9806985294117647,0.9998866363433419,30797
NOGNN,wav,False,False,34,5,4,32,0.001,2.5997502619729325,0.9255514705882353,0.9255514705882353,0.9255514705882353,0.9255514705882353,0.9968990679763365,30797
NOGNN,wav,False,False,34,5,4,32,0.0001,2.546993234578301,0.9898897058823529,0.9898897058823529,0.9898897058823529,0.9898897058823529,0.9999040769059045,30797
NOGNN,wav,False,False,34,5,4,128,0.01,2.6464901829467102,0.8713235294117647,0.8713235294117647,0.8713235294117647,0.8713235294117647,0.9898888338542248,123053
NOGNN,wav,False,False,34,5,4,128,0.001,2.526001596275498,0.9954044117647058,0.9954044117647058,0.9954044117647058,0.9954044117647058,1.0,123053
NOGNN,wav,False,False,34,5,4,128,0.0001,2.5400308002443874,0.9862132352941176,0.9862132352941176,0.9862132352941176,0.9862132352941176,0.999987791606206,123053
NOGNN,psd,False,False,10,5,4,16,0.01,3.465747427940369,0.03125,0.03125,0.03125,0.03125,0.5,15424
NOGNN,psd,False,False,10,5,4,16,0.001,3.4657435745000837,0.03125,0.03125,0.03125,0.03125,0.5,15424
NOGNN,psd,False,False,10,5,4,16,0.0001,2.7073540091514587,0.815625,0.815625,0.815625,0.815625,0.9735383064516129,15424
NOGNN,psd,False,False,10,5,4,32,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5095514112903226,30800
NOGNN,psd,False,False,10,5,4,32,0.001,2.676735523343086,0.84375,0.84375,0.84375,0.84375,0.9794959677419355,30800
NOGNN,psd,False,False,10,5,4,32,0.0001,3.0467896848917007,0.478125,0.478125,0.478125,0.478125,0.871945564516129,30800
NOGNN,psd,False,False,10,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5,123056
NOGNN,psd,False,False,10,5,4,128,0.001,2.604665744304657,0.915625,0.915625,0.915625,0.915625,0.9966784274193548,123056
NOGNN,psd,False,False,10,5,4,128,0.0001,2.8290931195020677,0.70625,0.70625,0.70625,0.70625,0.9352016129032258,123056
NOGNN,psd,False,False,20,5,4,16,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.49706149193548393,15424
NOGNN,psd,False,False,20,5,4,16,0.001,3.465829800069332,0.03125,0.03125,0.03125,0.03125,0.5029044858870968,15424
NOGNN,psd,False,False,20,5,4,16,0.0001,3.465830165147781,0.03125,0.03125,0.03125,0.03125,0.49733996975806455,15424
NOGNN,psd,False,False,20,5,4,32,0.01,3.4834679171442984,0.03125,0.03125,0.03125,0.03125,0.5054296875,30800
NOGNN,psd,False,False,20,5,4,32,0.001,2.6936258003115654,0.8296875,0.8296875,0.8296875,0.8296875,0.9750756048387097,30800
NOGNN,psd,False,False,20,5,4,32,0.0001,3.2642061531543733,0.2625,0.2625,0.2625,0.2625,0.7017389112903226,30800
NOGNN,psd,False,False,20,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5,123056
NOGNN,psd,False,False,20,5,4,128,0.001,3.465736910700798,0.03125,0.03125,0.03125,0.03125,0.5,123056
NOGNN,psd,False,False,20,5,4,128,0.0001,2.8409444585442545,0.684375,0.684375,0.684375,0.684375,0.9446496975806451,123056
NOGNN,psd,False,False,30,5,4,16,0.01,3.4696785459915795,0.0375,0.0375,0.0375,0.0375,0.5049271953405018,15424
NOGNN,psd,False,False,30,5,4,16,0.001,3.3610279887914656,0.15729166666666666,0.15729166666666666,0.15729166666666666,0.15729166666666666,0.6730421146953406,15424
NOGNN,psd,False,False,30,5,4,16,0.0001,3.4657549411058426,0.03229166666666667,0.03229166666666667,0.03229166666666667,0.03229166666666667,0.5127279345878136,15424
NOGNN,psd,False,False,30,5,4,32,0.01,3.4303282032410305,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5627788978494623,30800
NOGNN,psd,False,False,30,5,4,32,0.001,3.2848173052072527,0.24270833333333333,0.24270833333333333,0.24270833333333333,0.24270833333333333,0.7440669802867383,30800
NOGNN,psd,False,False,30,5,4,32,0.0001,3.235508218407631,0.3104166666666667,0.3104166666666667,0.3104166666666667,0.3104166666666667,0.7883187724014336,30800
NOGNN,psd,False,False,30,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5005611559139785,123056
NOGNN,psd,False,False,30,5,4,128,0.001,3.310734264055888,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.7067965949820789,123056
NOGNN,psd,False,False,30,5,4,128,0.0001,3.3012540260950725,0.24791666666666667,0.24791666666666667,0.24791666666666667,0.24791666666666667,0.7501680107526882,123056
NOGNN,psd,False,False,34,5,4,16,0.01,3.4625914096832275,0.05238970588235294,0.05238970588235294,0.05238970588235294,0.05238970588235294,0.5129744705045206,15424
NOGNN,psd,False,False,34,5,4,16,0.001,3.4659230603891262,0.03125,0.03125,0.03125,0.03125,0.5001652493302824,15424
NOGNN,psd,False,False,34,5,4,16,0.0001,3.447692954364945,0.078125,0.078125,0.078125,0.078125,0.5904859987163746,15424
NOGNN,psd,False,False,34,5,4,32,0.01,3.467140018063433,0.034926470588235295,0.034926470588235295,0.034926470588235295,0.034926470588235295,0.5005851308739815,30800
NOGNN,psd,False,False,34,5,4,32,0.001,3.459525365163298,0.04779411764705882,0.04779411764705883,0.04779411764705882,0.04779411764705882,0.5078992667987499,30800
NOGNN,psd,False,False,34,5,4,32,0.0001,3.411554202437401,0.16819852941176472,0.16819852941176472,0.16819852941176472,0.16819852941176472,0.6460411667038732,30800
NOGNN,psd,False,False,34,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.4909954375488336,123056
NOGNN,psd,False,False,34,5,4,128,0.001,3.455007199855412,0.05422794117647059,0.05422794117647059,0.05422794117647059,0.05422794117647059,0.533966367619154,123056
NOGNN,psd,False,False,34,5,4,128,0.0001,3.461040460888077,0.05330882352941176,0.05330882352941176,0.05330882352941176,0.05330882352941176,0.49319905262864155,123056
GraphConv,wav_entropy,False,False,10,5,4,16,0.001,3.4658188700675963,0.03125,0.03125,0.03125,0.03125,0.5,9005
GraphConv,wav_entropy,False,False,10,5,4,16,0.0001,3.465787300467491,0.03125,0.03125,0.03125,0.03125,0.5,9005
GraphConv,wav_entropy,False,False,10,5,4,128,0.001,3.465737447142601,0.03125,0.03125,0.03125,0.03125,0.5,358445
GraphConv,wav_entropy,False,False,10,5,4,128,0.0001,3.4657454758882524,0.03125,0.03125,0.03125,0.03125,0.5,358445
GraphConv,wav_entropy,False,False,30,5,4,16,0.001,2.5246137638886768,0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9999787186379928,9005
GraphConv,wav_entropy,False,False,30,5,4,16,0.0001,2.6502164711554843,0.871875,0.871875,0.871875,0.871875,0.9747703853046594,9005
GraphConv,wav_entropy,False,False,30,5,4,128,0.001,2.524061052997907,0.9958333333333333,0.9958333333333333,0.9958333333333333,0.9958333333333333,0.9995228494623657,358445
GraphConv,wav_entropy,False,False,30,5,4,128,0.0001,2.5219031939903895,0.9958333333333333,0.9958333333333333,0.9958333333333333,0.9958333333333333,0.9997569444444444,358445
GraphConv,wav_entropy,False,False,34,5,4,16,0.001,2.657503342803787,0.8795955882352942,0.8795955882352942,0.8795955882352942,0.8795955882352942,0.9836730173568478,9005
GraphConv,wav_entropy,False,False,34,5,4,16,0.0001,2.9899900020921932,0.6084558823529411,0.6084558823529411,0.6084558823529411,0.6084558823529411,0.9248765208170554,9005
GraphConv,wav_entropy,False,False,34,5,4,128,0.001,2.5969990772359512,0.9227941176470589,0.9227941176470589,0.9227941176470589,0.9227941176470589,0.9968232015291886,358445
GraphConv,wav_entropy,False,False,34,5,4,128,0.0001,2.5940720517845715,0.9466911764705882,0.9466911764705882,0.9466911764705882,0.9466911764705882,0.9985088319008818,358445
GatedGNN,wav_entropy,False,False,10,5,4,128,0.001,3.4657372713088987,0.03125,0.03125,0.03125,0.03125,0.5,377773
GatedGNN,wav_entropy,False,False,10,5,4,128,0.0001,3.4657376170158387,0.03125,0.03125,0.03125,0.03125,0.5,377773
GatedGNN,wav_entropy,False,False,30,5,4,128,0.001,2.5203784724076588,0.9979166666666667,0.9979166666666667,0.9979166666666667,0.9979166666666667,1.0,377773
GatedGNN,wav_entropy,False,False,30,5,4,128,0.0001,3.4657371282577514,0.03125,0.03125,0.03125,0.03125,0.5,377773
GatedGNN,wav_entropy,False,False,34,5,4,128,0.001,2.5432130256119896,0.9834558823529411,0.9834558823529411,0.9834558823529411,0.9834558823529411,0.9999694790155151,377773
GatedGNN,wav_entropy,False,False,34,5,4,128,0.0001,2.546908148071345,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9999468062841835,377773
NOGNN,wav_entropy,False,False,10,5,4,16,0.001,3.4657453119754793,0.03125,0.03125,0.03125,0.03125,0.5,15421
NOGNN,wav_entropy,False,False,10,5,4,16,0.0001,3.4657671242952346,0.03125,0.03125,0.03125,0.03125,0.5,15421
NOGNN,wav_entropy,False,False,10,5,4,128,0.001,3.465758115053177,0.03125,0.03125,0.03125,0.03125,0.5,123053
